Question;réponse1;réponse2;réponse3;réponse4;solution;num regle
They’d learn the language quite quickly if they lived in the country, _________________?;would be;would they;wouldn’t they;will they;wouldn’t they
I’m so ____________. I don’t feel like doing anything today…;ugly;rewarding;lazy;noisy;lazy
If I could I ___________ more often.;train;am training;would train;would have trained;would train
When I __________ rich, I’ll buy a new house by the beach.;was;will be;am going to be;am;am
I am tempted, but I feel it may be inappropriate to ____________.;do so;to be doing so;do such;do this so;do so
Did you remember _______________ off the heat before we left?;turn;turning;to turn;turning it;to turn
Have you found a job __________?;soon;still;longer;yet;yet
This is my ____________;parent’s car;parents’ car;parents car;car of parents;parents’ car
She has two sisters but she doesn’t speak to _____________ of them.;both;either;neither;any;either
The gas station is 10 miles ___________.;far;distance;long;away;away
I’d like to _____________ for the job, do you have a form for me?;postulate;candidate;apply;write;apply
You’re so _____________ in that dress! Are you going out on a date?;outstanding;breathless;stunning;uncanny;stunning
You shouldn’t believe what this guy says. He isn’t ______________ at all.;trustworthy;spooky;available;skillful;trustworthy
I’m so busy right now… I’ll probably go on holiday _________________.;when it comes;come rain or shine;when pigs fly;easy come easy go;when pigs fly
I have ______________. I’m getting married!;good news;a good new;a good news;a good piece of news;a good piece of news
This girl is so funny. She _____________.;cracks me up;laughs;smiles;jokes;cracks me up
I m afraid we ll have to _____________ our appointment. I won t be available tomorrow as planned. What about Wednesday instead?;postpone;cancel;pencil in;update;postpone
When I came home, my husband ________________.;have already cooked;had already cooked;has already cooked;cooked already;had already cooked
He is ____________ travelling throughout Asia.;actually;effectively;promptly;currently;currently
It’s hard to study _________________ I want.;as much;as much than;as much as;as many as;as much as
No way?! It’s already 8pm?! ___________.;time goes;time flies;time after time;sometimes;time flies
Mum, could you help me? No, I have other __________ to fry!;cats;fish;dogs;horses;fish
This book _________________ by a German writer.;is write;writing;is writing;was written;was written
I ___________________ as a teacher since 2015.;has worked;have been working;work;am working;have been working
I was born on ________________ 1990.;the first of December;the one December;the first December;one of December;the first of December
I’m not sure yet… I __________ come to the party as well, I’ll let you know.;can;might;will;must;might
_____________ the bad weather there were a lot of runners participating in the competition.;because of;despite;rather than;unless;despite
_________________ you give me a hand, please?;could;must;will;shall;could
There is only ____________ coffee left.;much;many;few;little;few
I think you’d better go ________ the hospital. You look dreadful!;at;from;to;/;to
He’s a very ___________ boy. He speaks more than 5 languages!;dummy;clever;shy;understanding;clever
I __________ I could come but unfortunately I have a lot of homework…;wish;want;would rather;hope;wish
Practice makes perfect! Never stop learning, the more you learn the __________ you’ll become.;best;better;good;well;better
le Jeu est fini !!;Merci;Score : ;Niveau :;AuRevoir;Merci
